"crosssection(m), created by Plot Digitizer, 2.6.8"
"Date: 7/27/16, 5:59:24 PM"


14
m,crosssection
5.02721,-42.4058,
6.00242,-44.0849,
7.01888,-44.9602,
8.08006,-45.6923,
10.4870,-46.4483,
14.7952,-47.1088,
23.2889,-47.4987,
39.8487,-47.7533,
63.7143,-47.6976,
99.2514,-47.5862,
175.222,-47.4032,
320.845,-47.1565,
523.814,-46.9655,
989.625,-46.6870,
