"crosssection(m), created by Plot Digitizer, 2.6.8"
"Date: 7/27/16, 5:58:45 PM"


18
m,crosssection
5.32401,-42.0080,
5.97121,-42.7241,
6.83824,-43.6950,
7.58994,-44.2042,
8.73746,-44.8408,
11.0483,-45.5729,
16.0826,-46.2095,
20.5493,-46.5119,
30.3843,-46.7347,
39.8487,-46.7984,
60.7932,-46.7666,
77.2736,-46.7427,
109.019,-46.6154,
184.602,-46.4483,
290.580,-46.2732,
422.984,-46.1061,
615.719,-45.9788,
974.264,-45.7401,
