kevnr,leff
1,0,
2.01627,0,
3.00803,0.0794808,
3.97045,0.0875619,
6.19839,0.107809,
9.42748,0.131312,
10.1453,0.135364,
16.3379,0.144223,
22.4877,0.153110,
30.4732,0.165251,
53.6542,0.183444,
73.4562,0.188267,
100.551,0.187805,
