kevnr,leff
1,0.101219,
2.11972,0.100681,
3.01022,0.104278,
4.01490,0.110324,
6.07310,0.125292,
8.81091,0.144739,
15.0337,0.162530,
24.5972,0.177078,
39.2076,0.193662,
60.8705,0.203747,
100.608,0.207317,
