kevnr,leff
1,0,
2.40894,0,
2.99130,0.0666540,
4.07460,0.0771971,
6.42836,0.0999426,
10.0373,0.126358,
15.2594,0.134436,
22.8365,0.141702,
35.0908,0.157523,
50.3729,0.172133,
70.4260,0.178595,
100.523,0.177717,
