,kev,events_per_day
0,1.0,1.0586342332573486e-06
1,1.0990990990990992,9.936571975657835e-07
2,1.1981981981981982,9.315571157766803e-07
3,1.2972972972972974,8.727919371481713e-07
4,1.3963963963963963,8.176099887245185e-07
5,1.4954954954954955,7.660996446975603e-07
6,1.5945945945945947,7.182325015771959e-07
7,1.6936936936936937,6.738988938913762e-07
8,1.7927927927927927,6.32935887836717e-07
9,1.8918918918918919,5.95148573355045e-07
10,1.990990990990991,5.603257452473948e-07
11,2.09009009009009,5.282510885811257e-07
12,2.1891891891891895,4.987108809131089e-07
13,2.288288288288288,4.7149906883730156e-07
14,2.3873873873873874,4.4642041232415523e-07
15,2.4864864864864864,4.232922393242442e-07
16,2.5855855855855854,4.0194522430295675e-07
17,2.684684684684685,3.82223499664961e-07
18,2.7837837837837838,3.6398432669907607e-07
19,2.8828828828828827,3.470974895130241e-07
20,2.981981981981982,3.314445278865033e-07
21,3.081081081081081,3.169178897414027e-07
22,3.18018018018018,3.0342005817237083e-07
23,3.279279279279279,2.908626893856847e-07
24,3.3783783783783785,2.791657846346098e-07
25,3.4774774774774775,2.6825690990919485e-07
26,3.5765765765765765,2.5807047067298286e-07
27,3.675675675675676,2.485470445426929e-07
28,3.774774774774775,2.3963277189108054e-07
29,3.873873873873874,2.3127880248652822e-07
30,3.972972972972973,2.2344079515161278e-07
31,4.072072072072072,2.160784668002276e-07
32,4.171171171171171,2.0915518693615464e-07
33,4.27027027027027,2.0263761364945424e-07
34,4.36936936936937,1.9649536724883257e-07
35,4.468468468468469,1.9070073786099147e-07
36,4.5675675675675675,1.852284235722739e-07
37,4.666666666666666,1.8005529595670714e-07
38,4.7657657657657655,1.751601901098241e-07
39,4.864864864864865,1.7052371657773788e-07
40,4.963963963963964,1.6612809282861867e-07
41,5.063063063063063,1.6195699215480813e-07
42,5.162162162162162,1.5799540811621144e-07
43,5.261261261261262,1.542295328386659e-07
44,5.36036036036036,1.5064664766491568e-07
45,5.45945945945946,1.4723502482144005e-07
46,5.558558558558558,1.4398383891281627e-07
47,5.657657657657658,1.40883087187866e-07
48,5.756756756756757,1.3792351763990433e-07
49,5.8558558558558556,1.3509656410835723e-07
50,5.954954954954955,1.3239428764214573e-07
51,6.054054054054054,1.2980932346779475e-07
52,6.153153153153153,1.2733483297835428e-07
53,6.252252252252252,1.249644602239638e-07
54,6.351351351351352,1.2269229244219805e-07
55,6.45045045045045,1.2051282421705202e-07
56,6.54954954954955,1.1842092490031861e-07
57,6.648648648648649,1.1641180896886199e-07
58,6.747747747747748,1.1448100902649548e-07
59,6.846846846846847,1.126243511903689e-07
60,6.945945945945946,1.1083793262942774e-07
61,7.045045045045045,1.0911810104704144e-07
62,7.1441441441441444,1.074614359216781e-07
63,7.243243243243243,1.0586473133885035e-07
64,7.342342342342342,1.0432498026475626e-07
65,7.441441441441442,1.0283936012734266e-07
66,7.54054054054054,1.0140521958414206e-07
67,7.63963963963964,1.0002006636837724e-07
68,7.738738738738739,9.86815561156575e-08
69,7.837837837837838,9.738748208325651e-08
70,7.936936936936937,9.613576568260008e-08
71,8.036036036036036,9.492444775331544e-08
72,8.135135135135135,9.375168051410646e-08
73,8.234234234234235,9.261572013191255e-08
74,8.333333333333332,9.151491985636106e-08
75,8.432432432432432,9.044772367150701e-08
76,8.531531531531531,8.941266042132937e-08
77,8.63063063063063,8.84083383694773e-08
78,8.72972972972973,8.743344015738107e-08
79,8.82882882882883,8.648671812810323e-08
80,8.927927927927929,8.55669899862449e-08
81,9.027027027027026,8.467313476687475e-08
82,9.126126126126126,8.380408908884222e-08
83,9.225225225225225,8.295884367000108e-08
84,9.324324324324325,8.21364400838269e-08
85,9.423423423423424,8.13359677386835e-08
86,9.522522522522523,8.055656106259994e-08
87,9.621621621621621,7.979739687787398e-08
88,9.72072072072072,7.905769195114043e-08
89,9.81981981981982,7.83367007057416e-08
90,9.91891891891892,7.763371308432802e-08
91,10.018018018018019,7.694805255060968e-08
92,10.117117117117116,7.627907422008131e-08
93,10.216216216216216,7.56261631103675e-08
94,10.315315315315315,7.498873250258426e-08
95,10.414414414414415,7.436622240579777e-08
96,10.513513513513514,7.375809811728598e-08
97,10.612612612612613,7.31638488718806e-08
98,10.711711711711711,7.2582986574188e-08
99,10.81081081081081,7.201504460796692e-08
100,10.90990990990991,7.145957671737733e-08
101,11.00900900900901,7.091615595521662e-08
102,11.108108108108109,7.038437369362666e-08
103,11.207207207207206,6.986383869309272e-08
104,11.306306306306306,6.935417622586557e-08
105,11.405405405405405,6.885502725022206e-08
106,11.504504504504505,6.83660476322419e-08
107,11.603603603603604,6.788690741201897e-08
108,11.702702702702704,6.741729011144692e-08
109,11.801801801801801,6.695689208092382e-08
110,11.9009009009009,6.65054218825078e-08
111,12.0,6.606259970723048e-08
112,12.0990990990991,6.562815682443409e-08
113,12.198198198198199,6.520183506114703e-08
114,12.297297297297298,6.478338630964882e-08
115,12.396396396396396,6.437257206150191e-08
116,12.495495495495495,6.39691629664449e-08
117,12.594594594594595,6.357293841464981e-08
118,12.693693693693694,6.318368614094596e-08
119,12.792792792792794,6.280120184970668e-08
120,12.891891891891891,6.242528885918e-08
121,12.99099099099099,6.20557577641255e-08
122,13.09009009009009,6.169242611569257e-08
123,13.18918918918919,6.1335118117545e-08
124,13.288288288288289,6.098366433729998e-08
125,13.387387387387388,6.06379014324095e-08
126,13.486486486486486,6.02976718896674e-08
127,13.585585585585585,5.996282377757618e-08
128,13.684684684684685,5.963321051085633e-08
129,13.783783783783784,5.930869062642475e-08
