# NEST photon yield for betas at %d V
# Curve traced from figure 1, upper right, using Bart's histogramripper.
# Jelle, 25 July 2017.
,kever,yield
0,0.05500000000000001,5.509234828496043
1,0.05615283642683257,5.604221635883905
2,0.0573298370687021,5.604221635883905
3,0.05853150842355983,5.794195250659631
4,0.059758367605889616,5.794195250659631
5,0.06101094256923726,5.794195250659631
6,0.06228977233340467,5.984168865435357
7,0.06359540721640568,5.984168865435357
8,0.06492840907128428,6.174142480211081
9,0.06628935152789635,6.174142480211081
10,0.0676788202397594,6.174142480211081
11,0.06909741313607665,6.364116094986807
12,0.07054574067904333,6.364116094986807
13,0.07202442612654669,6.554089709762533
14,0.07353410580037208,6.554089709762533
15,0.07507542936003077,6.554089709762533
16,0.07664906008232786,6.744063324538258
17,0.07825567514678941,6.744063324538258
18,0.07989596592707293,6.839050131926121
19,0.08157063828848575,6.934036939313984
20,0.08328041289173937,6.934036939313984
21,0.08502602550307128,7.124010554089709
22,0.08680822731086646,7.124010554089709
23,0.08862778524891606,7.218997361477572
24,0.09048548232645144,7.313984168865435
25,0.09238211796509593,7.313984168865435
26,0.0943185083428797,7.503957783641161
27,0.09629548674546484,7.503957783641161
28,0.09831390392473291,7.598944591029023
29,0.10037462846488839,7.693931398416886
30,0.10247854715623582,7.693931398416886
31,0.10462656537679198,7.788918205804749
32,0.10681960748189641,7.883905013192612
33,0.10905861720198894,7.883905013192612
34,0.11134455804872423,8.073878627968337
35,0.11367841372959955,8.073878627968337
36,0.11606118857127276,8.168865435356201
37,0.1184939079517536,8.263852242744063
38,0.12097761874165412,8.263852242744063
39,0.12351338975468758,8.453825857519789
40,0.12610231220761073,8.453825857519789
41,0.12874550018980613,8.548812664907652
42,0.13144409114270775,8.643799472295514
43,0.13419924634927527,8.643799472295514
44,0.13701215143372839,8.738786279683378
45,0.13988401687175575,8.83377308707124
46,0.14281607851141792,8.928759894459104
47,0.14580959810496963,9.023746701846965
48,0.1488658638518283,9.023746701846965
49,0.15198619095292434,9.11873350923483
50,0.15517192217667097,9.213720316622691
51,0.15842442843679633,9.308707124010555
52,0.16174510938228848,9.403693931398417
53,0.16513539399970523,9.403693931398417
54,0.168596741228109,9.49868073878628
55,0.17213064058689137,9.593667546174142
56,0.17573861281675668,9.688654353562006
57,0.1794222105341418,9.688654353562006
58,0.1831830188993524,9.783641160949868
59,0.1870226562987039,9.878627968337732
60,0.19094277504096088,9.973614775725594
61,0.19494506206837392,9.973614775725594
62,0.19903123968262038,10.068601583113457
63,0.20320306628596166,10.16358839050132
64,0.20746233713793494,10.258575197889183
65,0.2118108851279064,10.353562005277045
66,0.21625058156381732,10.353562005277045
67,0.22078333697746266,10.448548812664908
68,0.2254111019466494,10.54353562005277
69,0.23013586793458699,10.638522427440634
70,0.23495966814687286,10.638522427440634
71,0.23988457840644029,10.733509234828496
72,0.24491271804684606,10.82849604221636
73,0.250046250824282,10.923482849604222
74,0.25528738584870286,11.018469656992085
75,0.26063837853447097,11.018469656992085
76,0.2661015315709276,11.113456464379947
77,0.27167919591330764,11.20844327176781
78,0.27737377179442485,11.303430079155673
79,0.2831877097575622,11.398416886543536
80,0.28912351171101325,11.398416886543536
81,0.29518373200472614,11.493403693931398
82,0.30137097852951583,11.588390501319262
83,0.3076879138393159,11.683377308707124
84,0.31413725629695377,11.778364116094988
85,0.32072178124394224,11.778364116094988
86,0.3274443221947903,11.87335092348285
87,0.3343077720563477,11.968337730870713
88,0.34131508437270763,11.968337730870713
89,0.34846927459620386,12.063324538258575
90,0.35577342138504797,12.158311345646437
91,0.3632306679281667,12.2532981530343
92,0.37084422329780886,12.348284960422163
93,0.37861736383050243,12.348284960422163
94,0.38655343453695923,12.443271767810026
95,0.394655850541531,12.538258575197888
96,0.4029280985518377,12.633245382585752
97,0.4113737383592002,12.728232189973614
98,0.41999640437052344,12.728232189973614
99,0.42879980717228783,12.823218997361478
100,0.43778773512732416,12.91820580474934
101,0.44696405600505706,12.91820580474934
102,0.4563327186459199,13.108179419525065
103,0.4658977546606573,13.108179419525065
104,0.4756632801652448,13.203166226912929
105,0.485633497552175,13.29815303430079
106,0.4958126972988705,13.29815303430079
107,0.5062052598140023,13.488126649076516
108,0.5168156573225082,13.488126649076516
109,0.5276484557901229,13.58311345646438
110,0.5387083168882467,13.678100263852242
111,0.55,13.678100263852242
112,0.5615283642683256,13.868073878627968
113,0.5732983706870209,13.868073878627968
114,0.5853150842355983,13.868073878627968
115,0.5975836760588962,14.058047493403693
116,0.6101094256923726,14.058047493403693
117,0.6228977233340464,14.153034300791557
118,0.6359540721640569,14.248021108179419
119,0.6492840907128428,14.248021108179419
120,0.6628935152789635,14.437994722955144
121,0.676788202397594,14.437994722955144
122,0.6909741313607665,14.532981530343008
123,0.7054574067904333,14.62796833773087
124,0.7202442612654669,14.62796833773087
125,0.7353410580037207,14.817941952506596
126,0.7507542936003077,14.817941952506596
127,0.7664906008232786,14.817941952506596
128,0.782556751467894,15.007915567282321
129,0.7989596592707293,15.007915567282321
130,0.8157063828848575,15.197889182058047
131,0.8328041289173936,15.197889182058047
132,0.8502602550307128,15.197889182058047
133,0.8680822731086646,15.387862796833772
134,0.8862778524891606,15.387862796833772
135,0.9048548232645144,15.577836411609498
136,0.9238211796509593,15.577836411609498
137,0.9431850834287971,15.577836411609498
138,0.9629548674546484,15.767810026385224
139,0.9831390392473296,15.95778364116095
140,1.0037462846488838,16.052770448548813
141,1.0247854715623579,16.242744063324537
142,1.0462656537679198,16.432717678100264
143,1.068196074818964,16.622691292875988
