kevnr,leff
1,0,
1.75064,0,
2.99294,0.0863923,
4.22889,0.0964939,
6.03881,0.110659,
8.99451,0.134166,
10.1998,0.139428,
22.0245,0.157178,
30.7989,0.170941,
52.0006,0.186702,
73.4650,0.192332,
100.565,0.192683,
