kevnr,leff
1,0,
2.81050,0.0831513,
3.00918,0.0924889,
3.97177,0.0989440,
4.82123,0.105414,
6.23269,0.117564,
8.18536,0.131743,
9.93728,0.142685,
15.8372,0.153578,
24.3330,0.165698,
30.6422,0.175413,
44.9136,0.187134,
73.8583,0.195989,
101.107,0.197560,
