kevnr,leff
1,0.114634,
2.99540,0.114441,
5.05704,0.127763,
6.46924,0.138695,
10.1527,0.160161,
15.0380,0.172287,
21.8123,0.184010,
32.3103,0.198574,
44.7042,0.206241,
69.3983,0.213480,
101.163,0.216259,
