kevnr,leff
1,0.0943108,
1.92880,0.0941935,
2.94730,0.0977772,
4.41121,0.108275,
6.81437,0.126491,
9.68133,0.145128,
20.2601,0.164917,
30.8092,0.182323,
46.3550,0.193633,
65.8350,0.200481,
101.651,0.202031,
