,kev,events_per_day
0,1.0,0.00020717898716924842
1,1.0990990990990992,0.00015450145660131853
2,1.1981981981981982,0.00011521776613585185
3,1.2972972972972974,8.592238497525306e-05
4,1.3963963963963963,6.407567589125796e-05
5,1.4954954954954955,4.778373228471294e-05
6,1.5945945945945947,3.563419408844086e-05
7,1.6936936936936937,2.657380927816117e-05
8,1.7927927927927927,1.9817126712601993e-05
9,1.8918918918918919,1.477840482079721e-05
10,1.990990990990991,1.1020833252707518e-05
11,2.09009009009009,8.218665482289295e-06
12,2.1891891891891895,6.128979611698521e-06
13,2.288288288288288,4.570619300854271e-06
14,2.3873873873873874,3.4084891967118412e-06
15,2.4864864864864864,2.541843421947201e-06
16,2.5855855855855854,1.8955518438870644e-06
17,2.684684684684685,1.4135869903863319e-06
18,2.7837837837837838,1.0541669888025191e-06
19,2.8828828828828827,7.861334660255058e-07
20,2.981981981981982,5.862504071649011e-07
21,3.081081081081081,4.3718980905191704e-07
22,3.18018018018018,3.2602950343894445e-07
23,3.279279279279279,2.4313292513188944e-07
24,3.3783783783783785,1.8131371136556985e-07
25,3.4774774774774775,1.352127109535825e-07
26,3.5765765765765765,1.0083339569700514e-07
27,3.675675675675676,7.519539853970664e-08
28,3.774774774774775,5.607614344890356e-08
29,3.873873873873874,4.181816873331105e-08
30,3.972972972972973,3.118544052162095e-08
31,4.072072072072072,2.3256200115546177e-08
32,4.171171171171171,1.7343056078985283e-08
33,4.27027027027027,1.2933393790233244e-08
34,4.36936936936937,9.644936519344485e-09
35,4.468468468468469,7.192605589140333e-09
36,4.5675675675675675,5.363806703877522e-09
37,4.666666666666666,4.0000000000000085e-09
38,4.7657657657657655,2.9829561136932014e-09
39,4.864864864864865,2.224506794054907e-09
40,4.963963963963964,1.6589015353195333e-09
41,5.063063063063063,1.23710761919911e-09
42,5.162162162162162,9.225594339966044e-10
43,5.261261261261262,6.879885759713762e-10
44,5.36036036036036,5.130599322112241e-10
45,5.45945945945946,3.826088153701217e-10
46,5.558558558558558,2.85326326240305e-10
47,5.657657657657658,2.1277897731403422e-10
48,5.756756756756757,1.58677587811071e-10
49,5.8558558558558556,1.18332070166781e-10
50,5.954954954954955,8.824484303749287e-11
51,6.054054054054054,6.580762351014643e-11
52,6.153153153153153,4.907531321930293e-11
53,6.252252252252252,3.659737639973196e-11
54,6.351351351351352,2.7292091919177878e-11
55,6.45045045045045,2.0352778111447237e-11
56,6.54954954954955,1.5177860974545584e-11
57,6.648648648648649,1.1318723296701571e-11
58,6.747747747747748,8.440813714274386e-12
59,6.846846846846847,6.2946442183850366e-12
60,6.945945945945946,4.694161863688811e-12
61,7.045045045045045,3.5006197074889947e-12
62,7.1441441441441444,2.6105487395422848e-12
63,7.243243243243243,1.9467880806779383e-12
64,7.342342342342342,1.4517958518308243e-12
65,7.441441441441442,1.0826608280132944e-12
66,7.54054054054054,8.073824339945982e-13
67,7.63963963963964,6.020965918931723e-13
68,7.738738738738739,4.490069274553937e-13
69,7.837837837837838,3.348419898359172e-13
70,7.936936936936937,2.4970474017556e-13
71,8.036036036036036,1.862145703312151e-13
72,8.135135135135135,1.3886747275706294e-13
73,8.234234234234235,1.0355889421345061e-13
74,8.333333333333332,7.722790915533046e-14
75,8.432432432432432,5.759186594065868e-14
76,8.531531531531531,4.294850215167185e-14
77,8.63063063063063,3.2028374266823586e-14
78,8.72972972972973,2.3884808707718903e-14
79,8.82882882882883,1.7811834039770568e-14
80,8.927927927927929,1.3282979811255596e-14
81,9.027027027027026,9.905636459012042e-15
82,9.126126126126126,7.387019708858076e-15
83,9.225225225225225,5.508788900627557e-15
84,9.324324324324325,4.108118882543063e-15
85,9.423423423423424,3.063584584115059e-15
86,9.522522522522523,2.2846345912505695e-15
87,9.621621621621621,1.7037411803814737e-15
88,9.72072072072072,1.2705462925424393e-15
89,9.81981981981982,9.474959577674192e-16
90,9.91891891891892,7.065847149804808e-16
91,10.018018018018019,5.269277988482993e-16
92,10.117117117117116,3.9295062476235816e-16
93,10.216216216216216,2.9303861712861043e-16
94,10.315315315315315,2.1853033362799604e-16
95,10.414414414414415,1.6296659868076179e-16
96,10.513513513513514,1.2153055296564043e-16
97,10.612612612612613,9.063007649234331e-17
98,10.711711711711711,6.758638518932936e-17
99,10.81081081081081,5.0401805225733496e-17
100,10.90990990990991,3.758659325981869e-17
101,11.00900900900901,2.802978953931901e-17
102,11.108108108108109,2.0902908017961216e-17
103,11.207207207207206,1.5588114316536105e-17
104,11.306306306306306,1.1624665225364901e-17
105,11.405405405405405,8.668966550909765e-18
106,11.504504504504505,6.4647866931094966e-18
107,11.603603603603604,4.8210437474833656e-18
108,11.702702702702704,3.59524048023445e-18
109,11.801801801801801,2.6811111426781742e-18
110,11.9009009009009,1.99940921863571e-18
111,12.0,1.4910374881259753e-18
112,12.0990990990991,1.1119248477377805e-18
113,12.198198198198199,8.2920575563169685e-19
114,12.297297297297298,6.183710945677915e-19
115,12.396396396396396,4.611434592680366e-19
116,12.495495495495495,3.4389267527830464e-19
117,12.594594594594595,2.5645418954393183e-19
118,12.693693693693694,1.9124789814557625e-19
119,12.792792792792794,1.4262102175108002e-19
120,12.891891891891891,1.0635806219338944e-19
121,12.99099099099099,7.931535796508302e-20
122,13.09009009009009,5.914855798792715e-20
123,13.18918918918919,4.410938816655594e-20
124,13.288288288288289,3.289409227567358e-20
125,13.387387387387388,2.4530408414527153e-20
126,13.486486486486486,1.829328293787634e-20
127,13.585585585585585,1.3642015044764297e-20
128,13.684684684684685,1.0173383045218635e-20
