kevnr,leff
1,0.107722,
2.53309,0.108373,
3.52284,0.113193,
5.49843,0.126123,
9.18925,0.150829,
10.2583,0.156094,
17.4104,0.171041,
28.7888,0.189245,
43.0900,0.201369,
54.8250,0.205798,
70.8545,0.207785,
99.5739,0.211790,
